image,x,y
image_046.png,207,298
image_046.png,257,84
image_046.png,427,344
image_046.png,251,108
image_046.png,111,93
image_046.png,65,163
image_046.png,247,256
image_046.png,141,52
image_046.png,204,100
image_046.png,201,195
image_046.png,28,140
image_046.png,203,310
image_046.png,301,375
image_046.png,290,148
image_055.png,64,55
image_055.png,430,330
image_055.png,155,286
image_055.png,365,60
image_055.png,90,258
image_055.png,373,386
image_055.png,60,136
image_055.png,102,67
image_055.png,207,116
image_055.png,406,103
image_055.png,61,393
image_055.png,480,330
image_055.png,307,69
image_055.png,236,240
image_055.png,495,264
image_055.png,30,289
image_055.png,435,305
image_055.png,266,405
image_055.png,96,360
image_055.png,380,423
image_055.png,204,342
image_055.png,457,170
image_055.png,202,220
image_055.png,474,360
image_055.png,146,209
image_055.png,74,76
image_055.png,364,459
image_055.png,159,437
image_055.png,446,166
image_055.png,484,289
image_055.png,108,113
image_055.png,98,270
image_055.png,357,72
image_055.png,365,393
image_059.png,78,88
image_059.png,321,433
image_059.png,64,98
image_059.png,296,442
image_059.png,390,483
image_059.png,287,242
image_059.png,43,154
image_059.png,134,56
image_059.png,303,255
image_059.png,188,71
image_059.png,126,57
image_059.png,41,466
image_059.png,254,236
image_059.png,343,162
image_059.png,84,295
image_059.png,419,167
image_059.png,408,119
image_059.png,334,229
image_059.png,190,74
image_059.png,175,455
image_059.png,234,189
image_059.png,255,288
image_059.png,336,316
image_059.png,149,445
image_059.png,462,281
image_059.png,381,459
image_059.png,378,44
image_059.png,440,265
image_059.png,422,303
image_059.png,399,308
image_059.png,24,288
image_059.png,463,282
image_059.png,402,82
image_059.png,120,462
image_059.png,381,444
image_059.png,66,88
image_059.png,351,170
image_059.png,290,255
image_066.png,73,300
image_066.png,422,57
image_066.png,417,126
image_066.png,444,201
image_066.png,248,418
image_066.png,221,261
image_066.png,463,440
image_066.png,279,374
image_066.png,255,159
image_066.png,445,296
image_066.png,56,359
image_066.png,116,422
image_066.png,435,328
image_066.png,387,177
image_066.png,190,292
image_066.png,420,137
image_066.png,216,68
image_066.png,301,300
image_066.png,281,95
image_066.png,151,187
image_066.png,267,255
image_066.png,234,461
image_066.png,320,152
image_066.png,495,80
image_066.png,333,419
image_066.png,221,329
image_066.png,213,440
image_066.png,46,88
image_066.png,166,168
image_066.png,369,142
image_066.png,208,144
image_066.png,405,447
image_066.png,388,306
image_066.png,236,217
image_066.png,443,17
image_066.png,126,344
image_068.png,394,440
image_068.png,152,246
image_068.png,358,478
image_068.png,392,250
image_068.png,398,226
image_068.png,311,124
image_068.png,286,197
image_068.png,457,293
image_068.png,133,89
image_068.png,336,205
image_068.png,118,140
image_068.png,326,128
image_068.png,415,471
image_068.png,361,356
image_068.png,338,386
image_068.png,143,217
image_068.png,41,99
image_068.png,62,332
image_068.png,237,145
image_068.png,257,102
image_068.png,83,31
image_068.png,17,101
image_068.png,150,143
image_068.png,230,378
image_068.png,52,83
image_068.png,117,181
image_068.png,408,415
image_068.png,196,243
image_068.png,30,98
image_068.png,314,135
image_068.png,388,262
image_072.png,365,346
image_072.png,59,91
image_072.png,287,211
image_072.png,342,86
image_072.png,313,232
image_072.png,468,167
image_072.png,172,438
image_072.png,397,330
image_072.png,377,171
image_072.png,294,285
image_072.png,398,287
image_072.png,136,190
image_072.png,377,23
image_072.png,461,160
image_072.png,119,115
image_072.png,17,401
image_072.png,359,427
image_072.png,289,267
image_072.png,480,298
image_072.png,25,241
image_072.png,76,141
image_072.png,304,133
image_072.png,421,159
image_072.png,210,297
image_072.png,381,45
image_072.png,411,253
image_072.png,428,466
image_072.png,301,425
image_072.png,310,334
image_072.png,380,419
image_072.png,46,405
image_072.png,400,177
image_072.png,386,33
image_078.png,148,323
image_078.png,425,428
image_078.png,100,81
image_078.png,184,24
image_078.png,22,347
image_078.png,314,158
image_078.png,50,31
image_078.png,97,88
image_078.png,318,344
image_078.png,310,299
image_078.png,302,190
image_078.png,53,399
image_078.png,194,465
image_078.png,40,394
image_078.png,287,39
image_078.png,74,68
image_078.png,146,174
image_078.png,274,113
image_078.png,319,35
image_078.png,379,328
image_078.png,50,253
image_078.png,315,484
image_078.png,367,153
image_078.png,440,168
image_078.png,300,325
image_078.png,72,320
image_078.png,272,379
image_078.png,258,419
image_078.png,318,125
image_078.png,244,326
image_078.png,383,440
image_078.png,321,218
image_078.png,176,185
image_078.png,332,114
image_078.png,109,359
image_078.png,410,40
image_078.png,84,320
image_078.png,202,457
image_080.png,376,24
image_080.png,371,448
image_080.png,357,440
image_080.png,50,176
image_080.png,29,58
image_080.png,343,387
image_080.png,301,394
image_080.png,462,113
image_080.png,104,152
image_080.png,169,401
image_080.png,66,145
image_080.png,146,64
image_080.png,324,292
image_080.png,111,283
image_080.png,169,144
image_080.png,366,417
image_080.png,131,93
image_080.png,319,462
image_080.png,233,31
image_080.png,247,468
image_080.png,60,202
image_080.png,224,206
image_080.png,311,462
image_080.png,434,359
image_080.png,321,188
image_080.png,177,409
image_080.png,103,291
image_081.png,371,394
image_081.png,279,46
image_081.png,392,397
image_081.png,73,53
image_081.png,476,363
image_081.png,239,164
image_081.png,369,398
image_081.png,124,491
image_081.png,446,464
image_081.png,473,192
image_081.png,364,475
image_081.png,409,446
image_081.png,238,255
image_081.png,249,63
image_081.png,242,439
image_081.png,399,184
image_081.png,71,266
image_081.png,424,371
image_081.png,172,290
image_081.png,411,160
image_081.png,211,308
image_081.png,323,130
image_081.png,180,112
image_081.png,308,226
image_081.png,228,296
image_081.png,424,383
image_093.png,471,347
image_093.png,81,372
image_093.png,195,203
image_093.png,151,182
image_093.png,50,116
image_093.png,233,385
image_093.png,417,232
image_093.png,418,378
image_093.png,223,379
image_093.png,77,433
image_093.png,50,79
image_093.png,249,450
image_093.png,177,39
image_093.png,308,393
image_093.png,145,218
image_093.png,242,369
image_093.png,474,76
image_093.png,432,201
image_093.png,257,27
image_093.png,411,370
image_093.png,429,232
image_082.png,16,140
image_086.png,19,119
image_087.png,21,42
image_087.png,44,67
image_087.png,28,230
image_087.png,105,261
image_087.png,40,71
image_087.png,29,231
image_087.png,21,39
image_087.png,18,227
